,year,Youtuber Name,Category,Subscribers 2019,Views 2019,year,Youtuber Name,Category,Subscribers 2020,Views 2020
148,2019,disneyjunior,kids,1194093,1074573088,2020,disneyjunior,kids,2566667,2623025449
150,2019,kidsdianashow,kids,11191300,6028145001,2020,kidsdianashow,kids,25455559,27025854585
152,2019,peppapig,kids,2908568,3180734079,2020,peppapig,kids,7699996,6360643621
154,2019,ryantoysreview,kids,2488504,4387452992,2020,ryantoysreview,kids,4044453,7777508365
156,2019,thechuchutv,kids,5464922,2076681625,2020,thechuchutv,kids,12933333,7062325535
158,2019,toycantando,kids,2460343,1189372480,2020,toycantando,kids,4800004,2520828577
160,2019,UC977n5nXRn8MDuGQjwxkOLw,kids,836654,307636303,2020,UC977n5nXRn8MDuGQjwxkOLw,kids,874440,436836385
162,2019,UCgFXm4TI8htWmCyJ6cVPG_A,kids,3357672,3478945491,2020,UCgFXm4TI8htWmCyJ6cVPG_A,kids,9122221,10225594421
164,2019,UCpYye8D5fFMUPf9nSfgd4bA,kids,5852700,2937732779,2020,UCpYye8D5fFMUPf9nSfgd4bA,kids,8644442,8059239406
166,2019,vladandniki,kids,7643050,4282407575,2020,vladandniki,kids,24666664,23304230059
168,2019,vootkids,kids,5846193,1971978992,2020,vootkids,kids,11545555,5640092317
170,2019,abcnews,news,895361,928377732,2020,abcnews,news,3055558,2108148867
172,2019,bbcamerica,news,49340,69436043,2020,bbcamerica,news,98549,134470644
174,2019,cbsnews,news,358733,294274938,2020,cbsnews,news,1105558,907461814
176,2019,foxnews,news,773436,1085572881,2020,foxnews,news,2345558,2889766963
178,2019,gma,news,242003,119071366,2020,gma,news,866665,516383977
180,2019,nbcnews,news,350065,170703966,2020,nbcnews,news,2818888,1785718571
182,2019,theyoungturks,news,153864,197425813,2020,theyoungturks,news,432229,460231639
184,2019,tmz,news,139164,139186853,2020,tmz,news,151100,1264887224
186,2019,usatoday,news,188046,147673889,2020,usatoday,news,605560,286725607
188,2019,austinevans,product_review,217219,83319004,2020,austinevans,product_review,727776,197899347
190,2019,dopeornope,product_review,379385,218950294,2020,dopeornope,product_review,216662,249422803
192,2019,geekyranjit,product_review,132392,52714267,2020,geekyranjit,product_review,232219,94735346
194,2019,ijustine,product_review,333796,76742480,2020,ijustine,product_review,515563,116429425
196,2019,kustoo,product_review,14624,13023054,2020,kustoo,product_review,107776,17140016
198,2019,mkbhd,product_review,1111844,269931570,2020,mkbhd,product_review,2744445,596352233
200,2019,techunboxing007,product_review,95748,12143042,2020,techunboxing007,product_review,152106,25551821
202,2019,tldtoday,product_review,48904,23284259,2020,tldtoday,product_review,-28886,15606699
204,2019,unboxingsve,product_review,588,300191,2020,unboxingsve,product_review,1229,618493
206,2019,unboxtherapy,product_review,1051943,346477433,2020,unboxtherapy,product_review,1544430,489540275
208,2019,drewbinsky,travel,399942,95554457,2020,drewbinsky,travel,864439,189897144
210,2019,evazubeckofficial,travel,126747,6173759,2020,evazubeckofficial,travel,367335,23965776
212,2019,jonnajinton,travel,527078,38258358,2020,jonnajinton,travel,1160443,109498299
214,2019,karaandnate,travel,336496,51719450,2020,karaandnate,travel,701766,133159647
216,2019,koldstudios,travel,148119,6294247,2020,koldstudios,travel,179436,9875535
218,2019,lostleblanc,travel,186290,18038329,2020,lostleblanc,travel,268884,27001597
220,2019,markwiens,travel,759414,175460966,2020,markwiens,travel,1554446,422533566
222,2019,mikecorey,travel,32355,3604728,2020,mikecorey,travel,58449,5493682
224,2019,sailinglavagabonde,travel,298598,54398703,2020,sailinglavagabonde,travel,239990,73437141
226,2019,sorelleamore,travel,58199,6495965,2020,sorelleamore,travel,72223,8299156
228,2019,thebucketlistfamily,travel,144853,20141982,2020,thebucketlistfamily,travel,188098,40322485
1,,,,,,,,,,
3,,,,,,,,,,
5,,,,,,,,,,
7,,,,,,,,,,
9,,,,,,,,,,
11,,,,,,,,,,
13,,,,,,,,,,
15,,,,,,,,,,
17,,,,,,,,,,
19,,,,,,,,,,
21,,,,,,,,,,
23,,,,,,,,,,
25,,,,,,,,,,
27,,,,,,,,,,
29,,,,,,,,,,
31,,,,,,,,,,
33,,,,,,,,,,
35,,,,,,,,,,
37,,,,,,,,,,
39,,,,,,,,,,
41,,,,,,,,,,
43,,,,,,,,,,
45,,,,,,,,,,
47,,,,,,,,,,
49,,,,,,,,,,
51,,,,,,,,,,
53,,,,,,,,,,
55,,,,,,,,,,
57,,,,,,,,,,
59,,,,,,,,,,
61,,,,,,,,,,
63,,,,,,,,,,
65,,,,,,,,,,
67,,,,,,,,,,
69,,,,,,,,,,
71,,,,,,,,,,
73,,,,,,,,,,
75,,,,,,,,,,
77,,,,,,,,,,
79,,,,,,,,,,
81,,,,,,,,,,
83,,,,,,,,,,
85,,,,,,,,,,
87,,,,,,,,,,
89,,,,,,,,,,
91,,,,,,,,,,
93,,,,,,,,,,
95,,,,,,,,,,
97,,,,,,,,,,
99,,,,,,,,,,
101,,,,,,,,,,
103,,,,,,,,,,
105,,,,,,,,,,
107,,,,,,,,,,
109,,,,,,,,,,
111,,,,,,,,,,
113,,,,,,,,,,
115,,,,,,,,,,
117,,,,,,,,,,
119,,,,,,,,,,
121,,,,,,,,,,
123,,,,,,,,,,
125,,,,,,,,,,
127,,,,,,,,,,
129,,,,,,,,,,
131,,,,,,,,,,
133,,,,,,,,,,
135,,,,,,,,,,
137,,,,,,,,,,
139,,,,,,,,,,
141,,,,,,,,,,
143,,,,,,,,,,
145,,,,,,,,,,
147,,,,,,,,,,
149,,,,,,,,,,
151,,,,,,,,,,
153,,,,,,,,,,
155,,,,,,,,,,
157,,,,,,,,,,
159,,,,,,,,,,
161,,,,,,,,,,
163,,,,,,,,,,
165,,,,,,,,,,
167,,,,,,,,,,
169,,,,,,,,,,
171,,,,,,,,,,
173,,,,,,,,,,
175,,,,,,,,,,
177,,,,,,,,,,
179,,,,,,,,,,
181,,,,,,,,,,
183,,,,,,,,,,
185,,,,,,,,,,
187,,,,,,,,,,
189,,,,,,,,,,
191,,,,,,,,,,
193,,,,,,,,,,
195,,,,,,,,,,
197,,,,,,,,,,
199,,,,,,,,,,
201,,,,,,,,,,
203,,,,,,,,,,
205,,,,,,,,,,
207,,,,,,,,,,
209,,,,,,,,,,
211,,,,,,,,,,
213,,,,,,,,,,
215,,,,,,,,,,
217,,,,,,,,,,
219,,,,,,,,,,
221,,,,,,,,,,
223,,,,,,,,,,
225,,,,,,,,,,
227,,,,,,,,,,
229,,,,,,,,,,
